,Player,POS,Valuation
843,Elseid Hysaj,Right-Back,£16.20m
846,Kévin Malcuit,Right-Back,£14.40m
849,Giovanni Di Lorenzo,Right-Back,£13.50m
852,Allan,Central Midfield,£54.00m
855,Fabián Ruiz,Central Midfield,£54.00m
858,Piotr Zielinski,Central Midfield,£36.00m
861,Eljif Elmas,Central Midfield,£15.30m
864,Gianluca Gaetano,Attacking Midfield,£720k
867,Lorenzo Insigne,Left Winger,£58.50m
870,Hirving Lozano,Left Winger,£36.00m
873,Amin Younes,Left Winger,£7.20m
876,Leandrinho,Left Winger,£450k
879,José Callejón,Right Winger,£18.00m
882,Amato Ciciretti,Right Winger,£1.35m
885,Arkadiusz Milik,Centre-Forward,£36.00m
888,Dries Mertens,Centre-Forward,£22.50m
891,Fernando Llorente,Centre-Forward,£4.50m
894,Juan Musso,Goalkeeper,£9.00m
897,Nícolas,Goalkeeper,£630k
900,Samuele Perisan,Goalkeeper,£135k
903,Rodrigo Becão,Centre-Back,£6.30m
906,Samir,Centre-Back,£5.40m
909,William Troost-Ekong,Centre-Back,£3.60m
912,Bram Nuytinck,Centre-Back,£3.15m
915,Nicholas Opoku,Centre-Back,£900k
918,Sebastien De Maio,Centre-Back,£900k
921,Francisco Sierralta,Centre-Back,£360k
924,Jens Stryger Larsen,Right-Back,£3.60m
927,Hidde ter Avest,Right-Back,£1.80m
930,Rolando Mandragora,Defensive Midfield,£13.50m
933,Walace,Defensive Midfield,£7.65m
936,Mato Jajalo,Defensive Midfield,£900k
939,Rodrigo de Paul,Central Midfield,£22.50m
942,Seko Fofana,Central Midfield,£11.70m
945,Antonin Barak,Central Midfield,£10.80m
948,Ken Sema,Left Midfield,£3.15m
951,Ignacio Pussetto,Right Winger,£9.00m
954,Kevin Lasagna,Centre-Forward,£6.75m
957,Stefano Okaka,Centre-Forward,£4.50m
960,Ilija Nestorovski,Centre-Forward,£3.60m
963,Lukasz Teodorczyk,Centre-Forward,£2.70m
966,Emanuele Rovini,Centre-Forward,£225k
969,Boris Radunovi?,Goalkeeper,£810k
972,Marco Silvestri,Goalkeeper,£720k
975,Alessandro Berardi,Goalkeeper,£45k
978,Amir Rrahmani,Centre-Back,£2.70m
981,Marash Kumbulla,Centre-Back,£2.70m
984,Pawel Dawidowicz,Centre-Back,£1.80m
987,Salvatore Bocchetti,Centre-Back,£1.35m
990,Koray Günter,Centre-Back,£900k
