Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,PKC,CL,ECL,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Nacho,RMD,LIGA,D,27,2073,22,5,2,7,0,0,3,0,0,0,0,9,4,46,23,5,5,0,5,0,9,55,40,33,28,1008,1110,5,38,126,6,123,0,0,7,4,3,2,0,0,0,0,5,1,1456,29,0,0,0,0,0,0,0,0,6,0,0,0,27,7,1,48,48,51,0,0,0,1,1,10
Adam Smith,BOU,EPL,M/D,27,2069,22,5,2,6,0,0,1,3,0,2,1,13,3,31,35,10,22,1,17,2,8,49,35,23,39,752,913,8,15,105,29,130,0,0,7,2,1,6,1,0,0,0,17,0,1503,39,0,0,0,0,3,2,6,2,7,0,0,0,38,2,0,56,56,32,0,0,1,0,0,44
Sebastien De Maio,BGN,SERI,D,26,2051,22,4,2,7,0,0,2,0,0,0,0,6,2,35,2,0,5,0,5,0,17,26,17,31,6,884,1083,0,37,86,4,72,0,0,5,2,2,1,0,0,0,0,13,1,1434,14,0,0,0,0,0,0,0,0,1,0,0,0,30,5,0,143,143,102,0,0,2,1,2,6
Luca Rossettini,GEN,SERI,D,23,2026,22,1,0,7,0,0,0,0,0,0,0,11,5,29,4,0,3,0,3,0,21,16,8,23,8,842,1006,0,51,92,0,74,0,1,11,5,0,0,0,0,0,0,0,0,1289,15,0,0,0,0,0,0,0,0,1,0,0,0,30,5,0,146,146,65,0,0,0,0,0,2
Pol Lirola,SAS,SERI,D,24,2023,22,2,0,2,0,0,0,1,0,1,0,7,2,28,84,12,18,2,17,0,4,33,21,8,15,498,691,12,17,113,32,97,0,1,2,2,0,5,0,0,0,0,13,0,1239,19,0,0,0,0,0,0,0,0,19,0,0,0,37,5,0,75,75,45,0,0,4,0,0,53
Kevin Kampl,RBL,BUND,M,26,2021,22,4,4,3,0,0,1,3,1,2,1,28,9,36,78,23,51,1,30,18,2,42,33,30,21,993,1148,4,12,155,20,93,0,0,10,1,1,18,8,0,0,0,25,0,1572,38,0,0,0,0,9,3,51,41,13,2,0,0,37,3,0,25,25,39,2,0,7,0,0,41
Antonio Luna,LEV,LIGA,D,23,2021,22,1,1,5,0,0,0,2,0,2,0,5,0,36,58,17,14,5,12,0,9,39,26,21,15,510,730,16,16,142,10,77,0,0,3,0,0,2,0,0,0,0,16,0,1256,19,0,0,0,0,1,1,0,0,11,1,0,0,35,5,0,49,49,50,0,0,3,0,0,15
Omer Toprak,DOR,BUND,D,26,2017,22,4,2,1,0,0,0,1,0,0,1,13,1,26,0,0,5,1,4,0,16,37,26,20,25,1663,1850,0,82,144,2,142,0,1,12,1,0,1,0,0,0,0,6,0,2116,17,0,0,0,0,0,0,0,0,1,0,0,0,26,7,0,99,99,95,1,0,0,0,0,4
Jordon Ibe,BOU,EPL,M,32,2000,22,10,14,1,0,0,2,6,0,2,4,54,17,10,110,30,36,6,17,13,0,14,12,10,41,556,693,6,4,100,36,94,0,0,22,8,1,32,9,1,0,0,50,0,1169,60,0,0,0,0,14,7,57,49,26,4,0,0,33,0,0,8,8,22,5,0,2,1,0,85
Joel Matip,LIV,EPL,D,25,1995,22,3,0,3,0,0,1,0,0,0,0,11,2,35,0,0,5,1,5,0,15,35,24,19,10,1468,1655,0,57,123,3,104,1,0,9,2,1,2,0,0,0,0,5,0,1919,22,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,96,96,91,0,0,1,2,1,4
Matija Nastasic,SKE,BUND,D,24,1991,22,2,2,5,1,1,0,0,0,0,0,8,1,41,1,1,3,0,3,0,21,48,38,35,6,990,1164,1,43,101,1,98,0,0,7,1,0,1,0,0,0,0,1,0,1411,14,0,0,0,0,0,0,0,0,4,1,0,0,23,7,1,74,74,81,0,1,1,1,0,1
Pasquale Schiattarella,SPL,SERI,M,31,1988,22,9,8,12,0,0,1,4,0,3,1,20,3,23,39,12,43,5,33,6,2,41,31,26,56,921,1130,6,10,130,24,131,0,0,6,2,0,14,1,1,0,0,27,0,1474,24,0,0,0,0,9,2,18,11,5,0,0,0,37,2,0,24,24,62,3,0,1,0,0,30
