,Player,POS,Valuation
1344,Flavien Tait,Left Winger,£7.20m
1347,Raphinha,Right Winger,£12.60m
1350,Romain Del Castillo,Right Winger,£3.15m
1353,M'Baye Niang,Centre-Forward,£10.80m
1356,Jordan Siebatcheu,Centre-Forward,£5.40m
1359,Diafra Sakho,Centre-Forward,£1.80m
1362,Metehan Güclü,Centre-Forward,£450k
1365,Rúnar Alex Rúnarsson,Goalkeeper,£2.25m
1368,Alfred Gomis,Goalkeeper,£1.80m
1371,Lévi Ntumba,Goalkeeper,£270k
1374,Nayef Aguerd,Centre-Back,£2.70m
1377,Bruno Ecuele Manga,Centre-Back,£2.70m
1380,Wesley Lautoa,Centre-Back,£1.80m
1383,Senou Coulibaly,Centre-Back,£900k
1386,Théo Barbet,Centre-Back,£135k
1389,Hamza Mendyl,Left-Back,£3.60m
1392,Ngonda Muzinga,Left-Back,£450k
1395,Mickaël Alphonse,Right-Back,£810k
1398,Fouad Chafik,Right-Back,£720k
1401,Enzo Loiodice,Central Midfield,£4.95m
1404,Didier Ndong,Central Midfield,£3.60m
1407,Romain Amalfitano,Central Midfield,£1.80m
1410,Jordan Marié,Central Midfield,£1.35m
1413,Florent Balmont,Central Midfield,£225k
1416,Matheus Pereira,Attacking Midfield,£900k
1419,Frédéric Sammaritano,Attacking Midfield,£450k
1422,Bryan Soumaré,Attacking Midfield,£360k
1425,Mounir Chouiar,Left Winger,£3.60m
1428,Mama Baldé,Right Winger,£2.25m
1431,Julio Tavarès,Centre-Forward,£2.70m
1434,Jhonder Cádiz,Centre-Forward,£1.80m
1437,Stephy Mavididi,Centre-Forward,£900k
1440,Régis Gurtner,Goalkeeper,£1.58m
1443,Matthieu Dreyer,Goalkeeper,£360k
1449,Prince Gouano,Centre-Back,£6.30m
1452,Bakaye Dibassy,Centre-Back,£2.70m
1455,Jordan Lefort,Centre-Back,£2.70m
1458,Arturo Calabresi,Centre-Back,£1.62m
1461,Aurélien Chedjou,Centre-Back,£360k
1464,Haitam Aleesami,Left-Back,£1.35m
1467,Sanasi Sy,Left-Back,£135k
1470,Christophe Jallet,Right-Back,£450k
1473,Valentin Gendrey,Right-Back,£135k
1476,Alexis Blin,Defensive Midfield,£4.50m
1479,Thomas Monconduit,Defensive Midfield,£3.15m
1482,Mathieu Bodmer,Defensive Midfield,£225k
1485,Eddy Gnahoré,Central Midfield,£3.60m
1488,Bongani Zungu,Central Midfield,£2.25m
1491,Madih Talal,Central Midfield,£270k
1494,Jonathan Bumbu,Central Midfield,£135k
1497,Rafal Kurzawa,Left Midfield,£1.35m
1500,Gaël Kakuta,Attacking Midfield,£1.80m
1503,Ulrick Eneme Ella,Attacking Midfield,£270k
1506,Jayson Papeau,Attacking Midfield,£135k
1509,Stiven Mendoza,Left Winger,£2.70m
1512,Chadrac Akolo,Left Winger,£1.80m
1515,Jack Lahne,Left Winger,£900k
1521,Juan Ferney Otero,Right Winger,£3.60m
1524,Fousseni Diabaté,Right Winger,£2.70m
1527,Quentin Cornette,Right Winger,£270k
1530,Moussa Konaté,Centre-Forward,£6.30m
1533,Saman Ghoddos,Centre-Forward,£4.50m
1536,Serhou Guirassy,Centre-Forward,£4.50m
1542,Baptiste Reynet,Goalkeeper,£4.50m
1545,Mauro Goicoechea,Goalkeeper,£720k
1548,Florentin Bloch,Goalkeeper,£135k
1551,Bafodé Diakité,Centre-Back,£5.40m
1554,Gen Shoji,Centre-Back,£3.15m
1557,Agustín Rogel,Centre-Back,£2.25m
1560,Nicolas Isimat-Mirin,Centre-Back,£1.13m
1563,Moussa Diarra,Centre-Back,£135k
1566,Anthony Rouault,Centre-Back,£135k
1569,Issiaga Sylla,Left-Back,£3.15m
1572,Mathieu Gonçalves,Left-Back,£450k
1575,Kelvin Amian,Right-Back,£6.30m
1578,Steven Moreira,Right-Back,£1.80m
1581,Ibrahim Sangaré,Defensive Midfield,£13.50m
1584,Kalidou Sidibé,Defensive Midfield,£3.15m
1587,William Vainqueur,Defensive Midfield,£1.13m
1590,Jean-Victor Makengo,Central Midfield,£5.40m
1593,Quentin Boisgard,Attacking Midfield,£1.35m
1596,Amine Adli,Attacking Midfield,£135k
1599,Kouadio Koné,Attacking Midfield,£135k
1602,Max Gradel,Left Winger,£7.20m
1605,Adil Taoui,Left Winger,£135k
1608,Wesley Saïd,Right Winger,£6.75m
1611,Corentin Jean,Right Winger,£2.25m
1614,Mathieu Dossevi,Right Winger,£2.25m
1617,Nathan N'Goumou,Right Winger,£270k
1620,Efthymios Koulouris,Centre-Forward,£4.50m
1623,Aaron Leya Iseka,Centre-Forward,£2.70m
1626,Yaya Sanogo,Centre-Forward,£2.25m
1629,Stéphane Zobo,Centre-Forward,£135k
