,Player,POS,Valuation
888,Raúl Garcia,Left-Back,£900k
891,Damián Suárez,Right-Back,£3.15m
894,Allan Nyom,Right-Back,£2.70m
897,David Timor,Defensive Midfield,£1.35m
900,Markel Bergara,Defensive Midfield,£720k
903,Mauro Arambarri,Central Midfield,£13.50m
906,Nemanja Maksimovic,Central Midfield,£13.50m
909,Kenedy,Left Midfield,£9.00m
912,Fayçal Fajr,Attacking Midfield,£4.05m
915,Francisco Portillo,Attacking Midfield,£3.60m
918,Amath Ndiaye,Left Winger,£3.60m
921,Jason,Right Winger,£4.50m
924,Jaime Mata,Centre-Forward,£9.00m
927,Ángel Rodríguez,Centre-Forward,£2.70m
930,Enric Gallego,Centre-Forward,£2.70m
933,Jorge Molina,Centre-Forward,£1.80m
936,Juan Soriano,Goalkeeper,£2.25m
939,Iván Cuéllar,Goalkeeper,£720k
942,Dimitrios Siovas,Centre-Back,£5.40m
945,Kenneth Omeruo,Centre-Back,£4.50m
948,Unai Bustinza,Centre-Back,£3.60m
951,Chidozie Awaziem,Centre-Back,£3.15m
954,Rodrigo Tarín,Centre-Back,£1.80m
957,Jonathan Silva,Left-Back,£2.70m
960,Vasyl Kravets,Left-Back,£2.70m
963,Kévin Rodrigues,Left-Back,£2.70m
966,Roberto Rosales,Right-Back,£2.25m
969,Marc Navarro,Right-Back,£1.80m
972,Rubén Pérez,Defensive Midfield,£6.75m
975,Roque Mesa,Central Midfield,£6.30m
978,Recio,Central Midfield,£2.70m
981,Christian Rivera,Central Midfield,£2.25m
984,Óscar Rodríguez,Attacking Midfield,£9.00m
987,Fede Varela,Attacking Midfield,£1.80m
990,Javi Eraso,Attacking Midfield,£1.35m
993,José Manuel Arnáiz,Left Winger,£2.25m
996,Alexander Szymanowski,Left Winger,£1.35m
999,Sabin Merino,Left Winger,£900k
1002,Aitor Ruibal,Right Winger,£1.35m
1005,Youssef En-Nesyri,Centre-Forward,£10.80m
1008,Martin Braithwaite,Centre-Forward,£9.00m
1011,Guido Carrillo,Centre-Forward,£6.75m
1014,Fernando Pacheco,Goalkeeper,£13.50m
1017,Antonio Sivera,Goalkeeper,£1.35m
1020,Víctor Laguardia,Centre-Back,£9.00m
1023,Lisandro Magallán,Centre-Back,£5.40m
1026,Ximo Navarro,Centre-Back,£2.70m
1029,Rodrigo Ely,Centre-Back,£1.80m
1032,Tachi,Centre-Back,£900k
1035,Rubén Duarte,Left-Back,£4.50m
1038,Adrián Marín,Left-Back,£720k
1041,Martin Aguirregabiria,Right-Back,£6.75m
1044,Rafa Navarro,Right-Back,£450k
1047,Pere Pons,Defensive Midfield,£3.60m
1050,Manu García,Defensive Midfield,£1.80m
1053,Daniel Torres,Defensive Midfield,£810k
1056,Tomás Pina,Central Midfield,£2.25m
1059,Mubarak Wakaso,Central Midfield,£2.25m
1062,Javi Muñoz,Central Midfield,£450k
1065,Luis Rioja,Left Winger,£1.35m
1068,Burgui,Left Winger,£1.35m
1074,Oliver Burke,Right Winger,£6.75m
1077,Aleix Vidal,Right Winger,£3.60m
1080,Lucas Pérez,Centre-Forward,£3.60m
1083,Joselu,Centre-Forward,£3.60m
1086,John Guidetti,Centre-Forward,£2.70m
1089,Rubén Martínez,Goalkeeper,£630k
1092,Sergio Herrera,Goalkeeper,£450k
1095,Raúl Navas,Centre-Back,£2.70m
1098,Facundo Roncaglia,Centre-Back,£2.25m
1101,Unai García,Centre-Back,£1.80m
1104,David García,Centre-Back,£1.80m
1107,Aridane Hernández,Centre-Back,£630k
1110,Pervis Estupiñán,Left-Back,£1.80m
1113,Nacho Vidal,Right-Back,£1.80m
1116,Lillo Castellano,Right-Back,£630k
1119,Oier,Defensive Midfield,£1.08m
1122,Luis Perea,Defensive Midfield,£450k
1125,Darko Brasanac,Central Midfield,£1.80m
1128,Fran Mérida,Central Midfield,£1.35m
1131,Jon Moncayola,Central Midfield,£1.35m
1134,Iñigo Pérez,Central Midfield,£720k
1137,Rubén García,Attacking Midfield,£3.15m
1140,Roberto Torres,Attacking Midfield,£1.80m
1143,Chimy Ávila,Left Winger,£4.50m
1146,Kike Barja,Right Winger,£1.35m
1149,Robert Ibáñez,Right Winger,£900k
1152,Juan Villar,Right Winger,£810k
1155,Adrián López,Centre-Forward,£2.25m
1158,Brandon,Centre-Forward,£1.80m
1161,Marc Cardona,Centre-Forward,£1.35m
1164,Jasper Cillessen,Goalkeeper,£16.20m
1167,Jaume Doménech,Goalkeeper,£2.25m
1170,Mouctar Diakhaby,Centre-Back,£27.00m
1173,Gabriel Paulista,Centre-Back,£18.00m
1176,Eliaquim Mangala,Centre-Back,£9.00m
1179,Ezequiel Garay,Centre-Back,£7.20m
1182,José Gayà,Left-Back,£45.00m
1185,Jaume Costa,Left-Back,£3.60m
1188,Daniel Wass,Right-Back,£12.60m
1191,Cristiano Piccini,Right-Back,£9.00m
1194,Thierry Correia,Right-Back,£5.40m
1197,Francis Coquelin,Defensive Midfield,£18.00m
1200,Geoffrey Kondogbia,Central Midfield,£27.00m
1203,Dani Parejo,Central Midfield,£27.00m
1206,Kang-in Lee,Attacking Midfield,£18.00m
1209,Gonçalo Guedes,Left Winger,£36.00m
1212,Denis Cheryshev,Left Winger,£5.40m
1215,Manu Vallejo,Left Winger,£4.50m
1218,Carlos Soler,Right Winger,£45.00m
1221,Ferran Torres,Right Winger,£18.00m
1224,Rodrigo,Centre-Forward,£45.00m
1227,Maxi Gómez,Centre-Forward,£36.00m
1230,Kévin Gameiro,Centre-Forward,£8.10m
1233,Rubén Sobrino,Centre-Forward,£2.70m
1236,Thibaut Courtois,Goalkeeper,£49.50m
1239,Alphonse Areola,Goalkeeper,£15.75m
1242,Raphaël Varane,Centre-Back,£63.00m
1245,Éder Militão,Centre-Back,£45.00m
1248,Sergio Ramos,Centre-Back,£22.50m
1251,Nacho,Centre-Back,£18.00m
1254,Ferland Mendy,Left-Back,£36.00m
1257,Marcelo,Left-Back,£22.50m
1260,Daniel Carvajal,Right-Back,£45.00m
1263,Álvaro Odriozola,Right-Back,£22.50m
1266,Casemiro,Defensive Midfield,£54.00m
1269,Toni Kroos,Central Midfield,£54.00m
1272,Luka Modric,Central Midfield,£18.00m
1275,Federico Valverde,Central Midfield,£18.00m
1278,Isco,Attacking Midfield,£54.00m
1281,James Rodríguez,Attacking Midfield,£45.00m
1284,Brahim Díaz,Attacking Midfield,£15.30m
1287,Eden Hazard,Left Winger,£135.00m
1290,Vinícius Júnior,Left Winger,£63.00m
1293,Marco Asensio,Left Winger,£54.00m
1296,Rodrygo,Left Winger,£36.00m
1299,Gareth Bale,Right Winger,£54.00m
1302,Lucas Vázquez,Right Winger,£22.50m
1305,Luka Jovic,Centre-Forward,£54.00m
1308,Karim Benzema,Centre-Forward,£36.00m
1311,Mariano Díaz,Centre-Forward,£18.00m
1314,Diego López,Goalkeeper,£900k
1317,Andrés Prieto,Goalkeeper,£180k
1320,Fernando Calero,Centre-Back,£9.00m
1323,David López,Centre-Back,£8.10m
1326,Bernardo Espinosa,Centre-Back,£5.40m
1329,Naldo,Centre-Back,£1.80m
1332,Lluis López,Centre-Back,£1.35m
1335,Adrià Pedrosa,Left-Back,£9.00m
1338,Dídac Vilà,Left-Back,£3.60m
1341,Sébastien Corchia,Right-Back,£1.80m
1344,Javi López,Right-Back,£900k
1347,Pipa,Right-Back,£270k
1350,Marc Roca,Defensive Midfield,£27.00m
1353,Ander Iturraspe,Defensive Midfield,£2.25m
1356,Sergi Darder,Central Midfield,£12.60m
1359,Víctor Sánchez,Central Midfield,£2.70m
1362,Esteban Granero,Central Midfield,£2.70m
1365,Pol Lozano,Central Midfield,£1.35m
1368,Matías Vargas,Left Winger,£9.90m
1371,Lei Wu,Left Winger,£9.00m
1374,Pablo Piatti,Left Winger,£3.60m
1377,Oscar Melendo,Right Winger,£9.00m
