,Player,POS,Valuation
954,Cauly,Right Midfield,£1.35m
957,Christopher Antwi-Adjei,Left Midfield,£1.35m
960,Abdelhamid Sabiri,Attacking Midfield,£900k
963,Marlon Ritter,Attacking Midfield,£450k
966,Gerrit Holtmann,Left Winger,£1.35m
969,Kai Pröger,Right Winger,£720k
972,Marcel Hilßner,Right Winger,£360k
975,Johannes Dörfler,Right Winger,£225k
978,Sven Michel,Centre-Forward,£1.13m
981,Streli Mamba,Centre-Forward,£900k
984,Babacar Gueye,Centre-Forward,£675k
987,Ben Zolinski,Centre-Forward,£675k
990,Khiry Shelton,Centre-Forward,£450k
993,Kevin Trapp,Goalkeeper,£9.00m
996,Frederik Rönnow,Goalkeeper,£1.35m
999,Felix Wiedwald,Goalkeeper,£540k
1002,Jan Zimmermann,Goalkeeper,£225k
1005,Evan N'Dicka,Centre-Back,£19.80m
1008,Martin Hinteregger,Centre-Back,£10.80m
1011,Almamy Touré,Centre-Back,£5.85m
1014,Simon Falette,Centre-Back,£3.60m
1017,David Abraham,Centre-Back,£2.25m
1020,Marco Russ,Centre-Back,£675k
1023,Erik Durm,Left-Back,£1.80m
1026,Danny da Costa,Right-Back,£13.50m
1029,Timothy Chandler,Right-Back,£3.60m
1032,Lucas Torró,Defensive Midfield,£3.15m
1035,Gelson Fernandes,Defensive Midfield,£1.35m
1038,Makoto Hasebe,Defensive Midfield,£900k
1041,Nils Stendera,Defensive Midfield,£180k
1044,Sahverdi Cetin,Defensive Midfield,£180k
1047,Djibril Sow,Central Midfield,£8.10m
1050,Dominik Kohr,Central Midfield,£7.65m
1053,Sebastian Rode,Central Midfield,£4.50m
1056,Jonathan de Guzmán,Central Midfield,£2.25m
1059,Marijan Cavar,Central Midfield,£360k
1062,Filip Kostic,Left Midfield,£34.20m
1065,Mijat Gacinovic,Attacking Midfield,£9.90m
1068,Daichi Kamada,Attacking Midfield,£8.10m
1071,Patrick Finger,Attacking Midfield,£135k
1074,André Silva,Centre-Forward,£19.80m
1077,Bas Dost,Centre-Forward,£9.00m
1080,Gonçalo Paciência,Centre-Forward,£8.10m
1083,Dejan Joveljic,Centre-Forward,£3.60m
1086,Timo Horn,Goalkeeper,£5.40m
1089,Thomas Kessler,Goalkeeper,£225k
1092,Julian Krahl,Goalkeeper,£180k
1095,Brady Scott,Goalkeeper,£90k
1098,Jorge Meré,Centre-Back,£9.00m
1101,Sebastiaan Bornauw,Centre-Back,£5.85m
1104,Rafael Czichos,Centre-Back,£1.80m
1107,Lasse Sobiech,Centre-Back,£1.08m
1110,Jonas Hector,Left-Back,£9.00m
1113,Noah Katterbach,Left-Back,£810k
1116,Kingsley Ehizibue,Right-Back,£2.25m
1119,Benno Schmitz,Right-Back,£900k
1122,Matthias Bader,Right-Back,£450k
1125,Ellyes Skhiri,Defensive Midfield,£10.80m
1128,Birger Verstraete,Defensive Midfield,£3.60m
1131,Marco Höger,Defensive Midfield,£1.80m
1134,Vincent Koziello,Central Midfield,£1.80m
1137,Niklas Hauptmann,Central Midfield,£1.80m
1140,Christian Clemens,Right Midfield,£1.58m
1143,Marcel Risse,Right Midfield,£1.35m
1146,Louis Schaub,Attacking Midfield,£3.60m
1149,Dominick Drexler,Attacking Midfield,£3.60m
1152,Florian Kainz,Left Winger,£2.70m
1155,Darko Churlinov,Left Winger,£360k
1158,Kingsley Schindler,Right Winger,£2.70m
1161,Anthony Modeste,Centre-Forward,£6.30m
1164,Jhon Córdoba,Centre-Forward,£5.85m
1167,Simon Terodde,Centre-Forward,£3.15m
1170,Alexander Nübel,Goalkeeper,£10.80m
1173,Markus Schubert,Goalkeeper,£900k
1176,Michael Langer,Goalkeeper,£90k
1179,Matija Nastasic,Centre-Back,£16.20m
1182,Ozan Kabak,Centre-Back,£13.50m
1185,Salif Sané,Centre-Back,£10.80m
1188,Benjamin Stambouli,Centre-Back,£9.00m
1191,Juan Miranda,Left-Back,£4.50m
1194,Bastian Oczipka,Left-Back,£3.60m
1197,Jonas Carls,Left-Back,£180k
1200,Jonjoe Kenny,Right-Back,£7.20m
1203,Omar Mascarell,Defensive Midfield,£7.20m
1206,Weston McKennie,Central Midfield,£18.00m
1209,Suat Serdar,Central Midfield,£11.70m
1212,Nabil Bentaleb,Central Midfield,£9.00m
1215,Nassim Boujellab,Central Midfield,£1.35m
1218,Levent Mercan,Central Midfield,£450k
1221,Daniel Caligiuri,Right Midfield,£5.85m
1224,Alessandro Schöpf,Right Midfield,£4.50m
1227,Amine Harit,Attacking Midfield,£14.40m
1230,Benito Raman,Left Winger,£9.00m
1233,Rabbi Matondo,Right Winger,£8.10m
1236,Steven Skrzybski,Right Winger,£3.15m
1239,Mark Uth,Centre-Forward,£8.10m
1242,Guido Burgstaller,Centre-Forward,£4.95m
1245,Ahmed Kutucu,Centre-Forward,£4.05m
1248,Fabian Reese,Centre-Forward,£540k
1251,Jiri Pavlenka,Goalkeeper,£10.80m
1254,Stefanos Kapino,Goalkeeper,£900k
1257,Luca Plogmann,Goalkeeper,£450k
1260,Milos Veljkovic,Centre-Back,£7.20m
1263,Ömer Toprak,Centre-Back,£4.50m
1266,Marco Friedl,Centre-Back,£3.15m
1269,Sebastian Langkamp,Centre-Back,£1.80m
1272,Niklas Moisander,Centre-Back,£1.80m
1275,Christian Groß,Centre-Back,£270k
1278,Ludwig Augustinsson,Left-Back,£10.80m
1281,Michael Lang,Right-Back,£2.70m
1284,Theodor Gebre Selassie,Right-Back,£2.25m
1287,Nuri Sahin,Defensive Midfield,£2.25m
1290,Philipp Bargfrede,Defensive Midfield,£2.25m
1293,Ilia Gruev,Defensive Midfield,£180k
1296,Maximilian Eggestein,Central Midfield,£27.00m
1299,Davy Klaassen,Central Midfield,£19.80m
