Player,POS,Position,ValMillions
Jaime Mata,Centre Forward,Striker,9.0
Angel Rodriguez,Centre Forward,Striker,2.7
Enric Gallego,Centre Forward,Striker,2.7
Jorge Molina,Centre Forward,Striker,1.8
Dimitrios Siovas,Centre Back,Defender,5.4
Kenneth Omeruo,Centre Back,Defender,4.5
Unai Bustinza,Centre Back,Defender,3.6
Chidozie Awaziem,Centre Back,Defender,3.15
Rodrigo Tarin,Centre Back,Defender,1.8
Jonathan Silva,Left Back,Defender,2.7
Vasyl Kravets,Left Back,Defender,2.7
Kevin Rodrigues,Left Back,Defender,2.7
Roberto Rosales,Right Back,Defender,2.25
Marc Navarro,Right Back,Defender,1.8
Ruben Perez,Defensive Midfield,Midfielder,6.75
Roque Mesa,Central Midfield,Midfielder,6.3
Recio,Central Midfield,Midfielder,2.7
Christian Rivera,Central Midfield,Midfielder,2.25
Oscar Rodriguez,Attacking Midfield,Midfielder,9.0
Fede Varela,Attacking Midfield,Midfielder,1.8
Javi Eraso,Attacking Midfield,Midfielder,1.35
Jose Manuel Arnaiz,Left Winger,Midfielder,2.25
Alexander Szymanowski,Left Winger,Midfielder,1.35
Sabin Merino,Left Winger,Midfielder,0.9
Aitor Ruibal,Right Winger,Midfielder,1.35
Youssef En Nesyri,Centre Forward,Striker,10.8
Martin Braithwaite,Centre Forward,Striker,9.0
Guido Carrillo,Centre Forward,Striker,6.75
Victor Laguardia,Centre Back,Defender,9.0
Lisandro Magallan,Centre Back,Defender,5.4
Ximo Navarro,Centre Back,Defender,2.7
Rodrigo Ely,Centre Back,Defender,1.8
Tachi,Centre Back,Defender,0.9
Ruben Duarte,Left Back,Defender,4.5
Adrian Marin,Left Back,Defender,0.72
Martin Aguirregabiria,Right Back,Defender,6.75
Rafa Navarro,Right Back,Defender,0.45
Pere Pons,Defensive Midfield,Midfielder,3.6
Manu Garcia,Defensive Midfield,Midfielder,1.8
Daniel Torres,Defensive Midfield,Midfielder,0.81
Tomas Pina,Central Midfield,Midfielder,2.25
Mubarak Wakaso,Central Midfield,Midfielder,2.25
Javi Munoz,Central Midfield,Midfielder,0.45
Luis Rioja,Left Winger,Midfielder,1.35
Burgui,Left Winger,Midfielder,1.35
Oliver Burke,Right Winger,Midfielder,6.75
Aleix Vidal,Right Winger,Midfielder,3.6
Lucas Perez,Centre Forward,Striker,3.6
Joselu,Centre Forward,Striker,3.6
John Guidetti,Centre Forward,Striker,2.7
Raul Navas,Centre Back,Defender,2.7
Facundo Roncaglia,Centre Back,Defender,2.25
Unai Garcia,Centre Back,Defender,1.8
David Garcia,Centre Back,Defender,1.8
Aridane Hernandez,Centre Back,Defender,0.63
Pervis Estupinan,Left Back,Defender,1.8
Nacho Vidal,Right Back,Defender,1.8
Lillo Castellano,Right Back,Defender,0.63
Oier,Defensive Midfield,Midfielder,1.08
Luis Perea,Defensive Midfield,Midfielder,0.45
Darko Brasanac,Central Midfield,Midfielder,1.8
Fran Merida,Central Midfield,Midfielder,1.35
Jon Moncayola,Central Midfield,Midfielder,1.35
Inigo Perez,Central Midfield,Midfielder,0.72
Ruben Garcia,Attacking Midfield,Midfielder,3.15
Roberto Torres,Attacking Midfield,Midfielder,1.8
Chimy Avila,Left Winger,Midfielder,4.5
Kike Barja,Right Winger,Midfielder,1.35
Robert Ibanez,Right Winger,Midfielder,0.9
Juan Villar,Right Winger,Midfielder,0.81
Adrian Lopez,Centre Forward,Striker,2.25
Brandon,Centre Forward,Striker,1.8
Marc Cardona,Centre Forward,Striker,1.35
Mouctar Diakhaby,Centre Back,Defender,27.0
Gabriel Paulista,Centre Back,Defender,18.0
Eliaquim Mangala,Centre Back,Defender,9.0
Ezequiel Garay,Centre Back,Defender,7.2
Jose Gaya,Left Back,Defender,45.0
Jaume Costa,Left Back,Defender,3.6
Daniel Wass,Right Back,Defender,12.6
Cristiano Piccini,Right Back,Defender,9.0
Thierry Correia,Right Back,Defender,5.4
Francis Coquelin,Defensive Midfield,Midfielder,18.0
Geoffrey Kondogbia,Central Midfield,Midfielder,27.0
Dani Parejo,Central Midfield,Midfielder,27.0
Kang in Lee,Attacking Midfield,Midfielder,18.0
Goncalo Guedes,Left Winger,Midfielder,36.0
Denis Cheryshev,Left Winger,Midfielder,5.4
Manu Vallejo,Left Winger,Midfielder,4.5
Carlos Soler,Right Winger,Midfielder,45.0
Ferran Torres,Right Winger,Midfielder,18.0
Rodrigo,Centre Forward,Striker,45.0
Maxi Gomez,Centre Forward,Striker,36.0
Kevin Gameiro,Centre Forward,Striker,8.1
Ruben Sobrino,Centre Forward,Striker,2.7
Raphael Varane,Centre Back,Defender,63.0
Eder Militao,Centre Back,Defender,45.0
Sergio Ramos,Centre Back,Defender,22.5
Nacho,Centre Back,Defender,18.0
Ferland Mendy,Left Back,Defender,36.0
Marcelo,Left Back,Defender,22.5
Daniel Carvajal,Right Back,Defender,45.0
Alvaro Odriozola,Right Back,Defender,22.5
Casemiro,Defensive Midfield,Midfielder,54.0
Toni Kroos,Central Midfield,Midfielder,54.0
Luka Modric,Central Midfield,Midfielder,18.0
Federico Valverde,Central Midfield,Midfielder,18.0
Isco,Attacking Midfield,Midfielder,54.0
James Rodriguez,Attacking Midfield,Midfielder,45.0
Brahim Diaz,Attacking Midfield,Midfielder,15.3
Eden Hazard,Left Winger,Midfielder,135.0
Vinicius Junior,Left Winger,Midfielder,63.0
Marco Asensio,Left Winger,Midfielder,54.0
Rodrygo,Left Winger,Midfielder,36.0
Gareth Bale,Right Winger,Midfielder,54.0
Lucas Vazquez,Right Winger,Midfielder,22.5
Luka Jovic,Centre Forward,Striker,54.0
Karim Benzema,Centre Forward,Striker,36.0
Mariano Diaz,Centre Forward,Striker,18.0
Fernando Calero,Centre Back,Defender,9.0
David Lopez,Centre Back,Defender,8.1
Bernardo Espinosa,Centre Back,Defender,5.4
Naldo,Centre Back,Defender,1.8
Lluis Lopez,Centre Back,Defender,1.35
Adria Pedrosa,Left Back,Defender,9.0
Didac Vila,Left Back,Defender,3.6
Sebastien Corchia,Right Back,Defender,1.8
Javi Lopez,Right Back,Defender,0.9
Pipa,Right Back,Defender,0.27
Marc Roca,Defensive Midfield,Midfielder,27.0
Ander Iturraspe,Defensive Midfield,Midfielder,2.25
Sergi Darder,Central Midfield,Midfielder,12.6
Victor Sanchez,Central Midfield,Midfielder,2.7
Esteban Granero,Central Midfield,Midfielder,2.7
Pol Lozano,Central Midfield,Midfielder,1.35
Matias Vargas,Left Winger,Midfielder,9.9
Lei Wu,Left Winger,Midfielder,9.0
Pablo Piatti,Left Winger,Midfielder,3.6
Oscar Melendo,Right Winger,Midfielder,9.0
Javi Puado,Right Winger,Midfielder,0.9
Jonathan Calleri,Centre Forward,Striker,8.1
Facundo Ferreyra,Centre Forward,Striker,3.6
Victor Campuzano,Centre Forward,Striker,0.27
Antonio Raillo,Centre Back,Defender,2.25
Martin Valjent,Centre Back,Defender,2.25
Aleksandar Sedlar,Centre Back,Defender,0.81
Xisco Campos,Centre Back,Defender,0.09
Abdul Rahman Baba,Left Back,Defender,4.5
Lumor,Left Back,Defender,1.26
Joan Sastre,Right Back,Defender,1.8
Fran Gamez,Right Back,Defender,0.45
Aleix Febas,Central Midfield,Midfielder,3.6
Iddrisu Baba,Central Midfield,Midfielder,0.9
Dani Rodriguez,Central Midfield,Midfielder,0.63
Marc Pedraza,Central Midfield,Midfielder,0.36
Salva Sevilla,Central Midfield,Midfielder,0.18
Takefusa Kubo,Attacking Midfield,Midfielder,9.0
Josep Sene,Attacking Midfield,Midfielder,0.225
Lago Junior,Left Winger,Midfielder,1.8
Aleksandar Trajkovski,Left Winger,Midfielder,1.8
Yannis Salibur,Right Winger,Midfielder,1.8
Ariday Cabrera,Right Winger,Midfielder,0.36
Cucho Hernandez,Centre Forward,Striker,9.0
Pablo Chavarria,Centre Forward,Striker,2.25
Ante Budimir,Centre Forward,Striker,1.8
Abdon Prats,Centre Forward,Striker,0.72
Alex Alegria,Centre Forward,Striker,0.72
Nikola Milenkovic,Centre Back,Defender,27.0
German Pezzella,Centre Back,Defender,16.2
Jacob Rasmussen,Centre Back,Defender,3.6
Federico Ceccherini,Centre Back,Defender,3.15
Martin Caceres,Centre Back,Defender,1.35
Dalbert,Left Back,Defender,9.0
Luca Ranieri,Left Back,Defender,1.8
Aleksa Terzic,Left Back,Defender,1.35
Pol Lirola,Right Back,Defender,11.7
Lorenzo Venuti,Right Back,Defender,1.8
Erick Pulgar,Defensive Midfield,Midfielder,12.6
Milan Badelj,Defensive Midfield,Midfielder,4.5
Bryan Dabo,Defensive Midfield,Midfielder,3.15
Marco Benassi,Central Midfield,Midfielder,16.2
Gaetano Castrovilli,Central Midfield,Midfielder,7.2
Szymon Zurkowski,Central Midfield,Midfielder,3.6
Sebastian Cristoforo,Central Midfield,Midfielder,1.62
Valentin Eysseric,Attacking Midfield,Midfielder,2.7
Tofol Montiel,Attacking Midfield,Midfielder,0.9
Franck Ribery,Left Winger,Midfielder,3.6
Riccardo Sottil,Left Winger,Midfielder,2.25
Federico Chiesa,Right Winger,Midfielder,54.0
Rachid Ghezzal,Right Winger,Midfielder,7.2
Cyril Thereau,Second Striker,Striker,0.45
Pedro,Centre Forward,Striker,16.2
Kevin Prince Boateng,Centre Forward,Striker,6.3
Dusan Vlahovic,Centre Forward,Striker,2.7
Bobby Duncan,Centre Forward,Striker,1.35
Stefano Denswil,Centre Back,Defender,5.4
Mattia Bani,Centre Back,Defender,2.25
Danilo,Centre Back,Defender,0.72
Gabriele Corbo,Centre Back,Defender,0.72
Nehuen Paz,Centre Back,Defender,0.36
Mitchell Dijks,Left Back,Defender,4.5
Takehiro Tomiyasu,Right Back,Defender,8.1
Ibrahima Mbaye,Right Back,Defender,2.7
Gary Medel,Defensive Midfield,Midfielder,3.38
Roberto Soriano,Central Midfield,Midfielder,6.3
Mattias Svanberg,Central Midfield,Midfielder,3.6
Andrea Poli,Central Midfield,Midfielder,2.7
Jerdy Schouten,Central Midfield,Midfielder,1.8
Blerim Dzemaili,Central Midfield,Midfielder,0.9
Nicola Sansone,Left Winger,Midfielder,6.75
Ladislav Krejci,Left Winger,Midfielder,2.48
Riccardo Orsolini,Right Winger,Midfielder,18.0
Andreas Skov Olsen,Right Winger,Midfielder,7.2
Federico Santander,Centre Forward,Striker,5.4
Mattia Destro,Centre Forward,Striker,3.15
Rodrigo Palacio,Centre Forward,Striker,0.45
Jeison Murillo,Centre Back,Defender,9.0
Omar Colley,Centre Back,Defender,7.2
Julian Chabot,Centre Back,Defender,3.15
Alex Ferrari,Centre Back,Defender,1.35
Vasco Regini,Centre Back,Defender,1.26
Nicola Murru,Left Back,Defender,6.3
Tommaso Augello,Left Back,Defender,0.9
Bartosz Bereszynski,Right Back,Defender,7.2
Fabio Depaoli,Right Back,Defender,4.5
Albin Ekdal,Defensive Midfield,Midfielder,4.5
Karol Linetty,Central Midfield,Midfielder,13.5
Jakub Jankto,Central Midfield,Midfielder,10.8
Ronaldo Vieira,Central Midfield,Midfielder,4.5
Andrea Bertolacci,Central Midfield,Midfielder,2.7
Morten Thorsby,Central Midfield,Midfielder,2.25
Mehdi Leris,Central Midfield,Midfielder,2.25
Edgar Barreto,Central Midfield,Midfielder,0.9
Gaston Ramirez,Attacking Midfield,Midfielder,7.2
Gonzalo Maroni,Attacking Midfield,Midfielder,4.5
Emiliano Rigoni,Right Winger,Midfielder,7.2
Gianluca Caprari,Second Striker,Striker,9.0
