Player,POS,Position,ValMillions
Samuel Moutoussamy,Central Midfield,Midfielder,4.5
Rene Krhin,Central Midfield,Midfielder,1.8
Mehdi Abeid,Central Midfield,Midfielder,1.58
Kayembe,Left Midfield,Midfielder,0.45
Cristian Benavente,Attacking Midfield,Midfielder,4.95
Imran Louza,Attacking Midfield,Midfielder,2.7
Moses Simon,Left Winger,Midfielder,2.7
Abdoulaye Dabo,Left Winger,Midfielder,0.9
Marcus Coco,Right Winger,Midfielder,2.7
Abdoul Kader Bamba,Right Winger,Midfielder,0.72
Kalifa Coulibaly,Centre Forward,Striker,4.5
Bridge Ndilu,Centre Forward,Striker,0.36
Thody Elie Youan,Centre Forward,Striker,0.225
Romain Thomas,Centre Back,Defender,2.7
Mateo Pavlovic,Centre Back,Defender,1.58
Ismael Traore,Centre Back,Defender,1.35
Ibrahim Cisse,Centre Back,Defender,0.54
Rayan Ait Nouri,Left Back,Defender,5.4
Theo Pellenard,Left Back,Defender,1.8
Abdoulaye Bamba,Right Back,Defender,2.7
Vincent Manceau,Right Back,Defender,2.25
Haithem Loucif,Right Back,Defender,0.585
Baptiste Santamaria,Defensive Midfield,Midfielder,7.2
Vincent Pajot,Defensive Midfield,Midfielder,2.25
Antonin Bobichon,Central Midfield,Midfielder,4.5
Thomas Mangani,Central Midfield,Midfielder,1.8
Angelo Fulgini,Right Midfield,Midfielder,4.5
Sada Thioub,Right Midfield,Midfielder,3.6
Mathias Pereira Lage,Left Midfield,Midfielder,3.15
Pierrick Capelle,Left Midfield,Midfielder,1.8
Anthony Gomez Mancini,Attacking Midfield,Midfielder,0.135
Casimir Ninga,Left Winger,Midfielder,2.7
Farid El Melali,Right Winger,Midfielder,1.8
Stephane Bahoken,Centre Forward,Striker,7.2
Rachid Alioui,Centre Forward,Striker,3.6
Wilfried Kanga,Centre Forward,Striker,1.35
Anthony Briancon,Centre Back,Defender,4.5
Pablo Martinez,Centre Back,Defender,3.15
Loick Landre,Centre Back,Defender,3.15
Kelyan Guessoum,Centre Back,Defender,0.135
Florian Miguel,Left Back,Defender,1.8
Theo Sainte Luce,Left Back,Defender,0.135
Sofiane Alakouch,Right Back,Defender,4.5
Gaetan Paquiez,Right Back,Defender,0.9
Lucas Buades,Right Back,Defender,0.135
Lamine Fomba,Defensive Midfield,Midfielder,3.6
Sidy Sarr,Defensive Midfield,Midfielder,1.8
Lucas Deaux,Defensive Midfield,Midfielder,1.8
Theo Valls,Central Midfield,Midfielder,2.25
Zinedine Ferhat,Right Midfield,Midfielder,3.15
Romain Philippoteaux,Left Midfield,Midfielder,0.9
Haris Duljevic,Left Midfield,Midfielder,0.9
Renaud Ripart,Centre Forward,Striker,3.6
Clement Depres,Centre Forward,Striker,1.35
Kevin Denkey,Centre Forward,Striker,1.35
Vlatko Stojanovski,Centre Forward,Striker,0.45
Sami Ben Amar,Centre Forward,Striker,0.135
Benoit Badiashile,Centre Back,Defender,16.2
Guillermo Maripan,Centre Back,Defender,13.5
Kamil Glik,Centre Back,Defender,7.2
Jemerson,Centre Back,Defender,5.4
Naldo,Centre Back,Defender,0.45
Fode Ballo Toure,Left Back,Defender,9.0
Arthur Zagre,Left Back,Defender,6.3
Benjamin Henrichs,Right Back,Defender,13.5
Ruben Aguilar,Right Back,Defender,7.2
Tiemoue Bakayoko,Defensive Midfield,Midfielder,31.5
Adrien Silva,Central Midfield,Midfielder,11.7
Cesc Fabregas,Central Midfield,Midfielder,10.8
Aleksandr Golovin,Attacking Midfield,Midfielder,22.5
Gabriel Boschilia,Attacking Midfield,Midfielder,3.6
Keita Balde,Left Winger,Midfielder,22.5
Henry Onyekuru,Left Winger,Midfielder,11.7
Willem Geubbels,Left Winger,Midfielder,9.0
Gelson Martins,Right Winger,Midfielder,25.2
Gil Dias,Right Winger,Midfielder,2.25
Wissam Ben Yedder,Centre Forward,Striker,36.0
Jean Kevin Augustin,Centre Forward,Striker,14.4
Stevan Jovetic,Centre Forward,Striker,9.0
Pietro Pellegri,Centre Forward,Striker,6.3
Islam Slimani,Centre Forward,Striker,4.5
Moussa Sylla,Centre Forward,Striker,3.6
Denys Bain,Centre Back,Defender,2.25
Jean Kevin Duverne,Centre Back,Defender,1.8
Jean Charles Castelletto,Centre Back,Defender,1.35
Brendan Chardonnet,Centre Back,Defender,0.72
Romain Perraud,Left Back,Defender,2.25
David Kiki,Left Back,Defender,0.54
Ludovic Baal,Left Back,Defender,0.45
Julien Faussurier,Right Back,Defender,0.9
Gaetan Belaud,Right Back,Defender,0.81
Paul Lasne,Defensive Midfield,Midfielder,2.25
Ibrahima Diallo,Central Midfield,Midfielder,3.15
Cristian Battocchio,Central Midfield,Midfielder,1.35
Haris Belkebla,Central Midfield,Midfielder,0.9
Ferris NGoma,Central Midfield,Midfielder,0.63
Hugo Magnetti,Central Midfield,Midfielder,0.135
Hianga Mbock,Central Midfield,Midfielder,0.135
Samuel Grandsir,Right Midfield,Midfielder,2.7
Yoann Court,Left Midfield,Midfielder,0.9
Mathias Autret,Attacking Midfield,Midfielder,2.25
Gaetan Charbonnier,Centre Forward,Striker,2.25
Alexandre Mendy,Centre Forward,Striker,2.03
Irvin Cardona,Centre Forward,Striker,1.35
Kevin Mayi,Centre Forward,Striker,0.63
Derick Osei Yaw,Centre Forward,Striker,0.135
Gabriel Magalhaes,Centre Back,Defender,9.0
Adama Soumaoro,Centre Back,Defender,9.0
Tiago Djalo,Centre Back,Defender,2.7
Jose Fonte,Centre Back,Defender,1.8
Saad Agouzoul,Centre Back,Defender,0.54
Domagoj Bradaric,Left Back,Defender,5.85
Reinildo Mandava,Left Back,Defender,1.8
Zeki Celik,Right Back,Defender,15.3
Jeremy Pied,Right Back,Defender,2.25
Boubakary Soumare,Defensive Midfield,Midfielder,16.2
Thiago Maia,Defensive Midfield,Midfielder,3.6
Renato Sanches,Central Midfield,Midfielder,16.2
Xeka,Central Midfield,Midfielder,9.0
Benjamin Andre,Central Midfield,Midfielder,9.0
Jonathan Ikone,Attacking Midfield,Midfielder,24.3
Yusuf Yazici,Attacking Midfield,Midfielder,14.4
Jonathan Bamba,Left Winger,Midfielder,18.0
Luiz Araujo,Left Winger,Midfielder,6.3
Victor Osimhen,Centre Forward,Striker,11.7
Timothy Weah,Centre Forward,Striker,7.2
Loic Remy,Centre Forward,Striker,2.7
William Saliba,Centre Back,Defender,22.5
Timothee Kolodziejczak,Centre Back,Defender,5.4
Harold Moukoudi,Centre Back,Defender,2.7
Loic Perrin,Centre Back,Defender,1.8
Leo Lacroix,Centre Back,Defender,1.13
Gabriel Silva,Left Back,Defender,2.25
Miguel Trauco,Left Back,Defender,1.58
Sergi Palencia,Right Back,Defender,3.6
Mathieu Debuchy,Right Back,Defender,2.7
Alpha Sissoko,Right Back,Defender,0.45
Yann MVila,Defensive Midfield,Midfielder,9.0
Jean Eudes Aholou,Defensive Midfield,Midfielder,6.3
Assane Diousse,Defensive Midfield,Midfielder,4.05
Zaydou Youssouf,Central Midfield,Midfielder,3.6
Yohan Cabaye,Central Midfield,Midfielder,1.8
Mahdi Camara,Central Midfield,Midfielder,0.27
Wahbi Khazri,Attacking Midfield,Midfielder,14.4
Ryad Boudebouz,Attacking Midfield,Midfielder,5.4
Denis Bouanga,Left Winger,Midfielder,5.4
Arnaud Nordin,Left Winger,Midfielder,3.15
Kevin Monnet Paquet,Left Winger,Midfielder,1.8
Romain Hamouma,Right Winger,Midfielder,2.25
Franck Honorat,Right Winger,Midfielder,1.8
Lois Diony,Centre Forward,Striker,4.5
Robert Beric,Centre Forward,Striker,4.5
Charles Abi,Centre Forward,Striker,0.45
Joris Gnagnon,Centre Back,Defender,5.4
Jeremy Gelin,Centre Back,Defender,5.4
Damien Da Silva,Centre Back,Defender,4.5
Gerzino Nyamsi,Centre Back,Defender,1.8
Jeremy Morel,Centre Back,Defender,0.225
Faitout Maouassa,Left Back,Defender,7.2
Souleyman Doumbia,Left Back,Defender,2.7
Hamari Traore,Right Back,Defender,5.4
Sacha Boey,Right Back,Defender,0.72
Eduardo Camavinga,Defensive Midfield,Midfielder,18.0
Benjamin Bourigeaud,Central Midfield,Midfielder,13.5
Clement Grenier,Central Midfield,Midfielder,6.75
Jonas Martin,Central Midfield,Midfielder,4.5
James Lea Siliki,Central Midfield,Midfielder,3.6
Jakob Johansson,Central Midfield,Midfielder,2.25
Adrien Hunou,Attacking Midfield,Midfielder,5.4
Rafik Guitane,Attacking Midfield,Midfielder,4.5
Yann Gboho,Attacking Midfield,Midfielder,0.135
Flavien Tait,Left Winger,Midfielder,7.2
Raphinha,Right Winger,Midfielder,12.6
Romain Del Castillo,Right Winger,Midfielder,3.15
MBaye Niang,Centre Forward,Striker,10.8
Jordan Siebatcheu,Centre Forward,Striker,5.4
Diafra Sakho,Centre Forward,Striker,1.8
Metehan Guclu,Centre Forward,Striker,0.45
Nayef Aguerd,Centre Back,Defender,2.7
Bruno Ecuele Manga,Centre Back,Defender,2.7
Wesley Lautoa,Centre Back,Defender,1.8
Senou Coulibaly,Centre Back,Defender,0.9
Theo Barbet,Centre Back,Defender,0.135
Hamza Mendyl,Left Back,Defender,3.6
Ngonda Muzinga,Left Back,Defender,0.45
Mickael Alphonse,Right Back,Defender,0.81
Fouad Chafik,Right Back,Defender,0.72
Enzo Loiodice,Central Midfield,Midfielder,4.95
Didier Ndong,Central Midfield,Midfielder,3.6
Romain Amalfitano,Central Midfield,Midfielder,1.8
Jordan Marie,Central Midfield,Midfielder,1.35
Florent Balmont,Central Midfield,Midfielder,0.225
Matheus Pereira,Attacking Midfield,Midfielder,0.9
Frederic Sammaritano,Attacking Midfield,Midfielder,0.45
Bryan Soumare,Attacking Midfield,Midfielder,0.36
Mounir Chouiar,Left Winger,Midfielder,3.6
Mama Balde,Right Winger,Midfielder,2.25
Julio Tavares,Centre Forward,Striker,2.7
Jhonder Cadiz,Centre Forward,Striker,1.8
Stephy Mavididi,Centre Forward,Striker,0.9
Prince Gouano,Centre Back,Defender,6.3
Bakaye Dibassy,Centre Back,Defender,2.7
Jordan Lefort,Centre Back,Defender,2.7
Arturo Calabresi,Centre Back,Defender,1.62
Aurelien Chedjou,Centre Back,Defender,0.36
Haitam Aleesami,Left Back,Defender,1.35
Sanasi Sy,Left Back,Defender,0.135
Christophe Jallet,Right Back,Defender,0.45
Valentin Gendrey,Right Back,Defender,0.135
Alexis Blin,Defensive Midfield,Midfielder,4.5
Thomas Monconduit,Defensive Midfield,Midfielder,3.15
Mathieu Bodmer,Defensive Midfield,Midfielder,0.225
Eddy Gnahore,Central Midfield,Midfielder,3.6
Bongani Zungu,Central Midfield,Midfielder,2.25
Madih Talal,Central Midfield,Midfielder,0.27
Jonathan Bumbu,Central Midfield,Midfielder,0.135
Rafal Kurzawa,Left Midfield,Midfielder,1.35
Gael Kakuta,Attacking Midfield,Midfielder,1.8
Ulrick Eneme Ella,Attacking Midfield,Midfielder,0.27
Jayson Papeau,Attacking Midfield,Midfielder,0.135
Stiven Mendoza,Left Winger,Midfielder,2.7
Chadrac Akolo,Left Winger,Midfielder,1.8
Jack Lahne,Left Winger,Midfielder,0.9
Juan Ferney Otero,Right Winger,Midfielder,3.6
Fousseni Diabate,Right Winger,Midfielder,2.7
Quentin Cornette,Right Winger,Midfielder,0.27
Moussa Konate,Centre Forward,Striker,6.3
Saman Ghoddos,Centre Forward,Striker,4.5
Serhou Guirassy,Centre Forward,Striker,4.5
Bafode Diakite,Centre Back,Defender,5.4
Gen Shoji,Centre Back,Defender,3.15
Agustin Rogel,Centre Back,Defender,2.25
Nicolas Isimat Mirin,Centre Back,Defender,1.13
Moussa Diarra,Centre Back,Defender,0.135
Anthony Rouault,Centre Back,Defender,0.135
Issiaga Sylla,Left Back,Defender,3.15
Mathieu Goncalves,Left Back,Defender,0.45
Kelvin Amian,Right Back,Defender,6.3
Steven Moreira,Right Back,Defender,1.8
Ibrahim Sangare,Defensive Midfield,Midfielder,13.5
Kalidou Sidibe,Defensive Midfield,Midfielder,3.15
William Vainqueur,Defensive Midfield,Midfielder,1.13
Jean Victor Makengo,Central Midfield,Midfielder,5.4
Quentin Boisgard,Attacking Midfield,Midfielder,1.35
Amine Adli,Attacking Midfield,Midfielder,0.135
Kouadio Kone,Attacking Midfield,Midfielder,0.135
Max Gradel,Left Winger,Midfielder,7.2
Adil Taoui,Left Winger,Midfielder,0.135
Wesley Said,Right Winger,Midfielder,6.75
Corentin Jean,Right Winger,Midfielder,2.25
Mathieu Dossevi,Right Winger,Midfielder,2.25
Nathan NGoumou,Right Winger,Midfielder,0.27
Efthymios Koulouris,Centre Forward,Striker,4.5
Aaron Leya Iseka,Centre Forward,Striker,2.7
Yaya Sanogo,Centre Forward,Striker,2.25
Stephane Zobo,Centre Forward,Striker,0.135
