,Player,POS,Valuation
939,Aaron Mooy,Central Midfield,£12.60m
942,Pascal Groß,Central Midfield,£9.00m
945,Dale Stephens,Central Midfield,£5.40m
948,Andrew Crofts,Central Midfield,£315k
951,Solly March,Left Midfield,£7.20m
957,Leandro Trossard,Left Winger,£14.40m
960,José Izquierdo,Left Winger,£9.00m
963,Alireza Jahanbakhsh,Right Winger,£10.80m
966,Neal Maupay,Centre-Forward,£16.20m
969,Glenn Murray,Centre-Forward,£2.70m
972,Aaron Connolly,Centre-Forward,£2.25m
975,Lukasz Fabianski,Goalkeeper,£4.50m
978,Roberto,Goalkeeper,£1.35m
981,David Martin,Goalkeeper,£225k
984,Issa Diop,Centre-Back,£31.50m
987,Fabián Balbuena,Centre-Back,£10.80m
990,Angelo Ogbonna,Centre-Back,£7.20m
993,Winston Reid,Centre-Back,£4.50m
996,Gonçalo Cardoso,Centre-Back,£2.25m
999,Arthur Masuaku,Left-Back,£9.00m
1002,Aaron Cresswell,Left-Back,£7.20m
1005,Ryan Fredericks,Right-Back,£6.30m
1008,Pablo Zabaleta,Right-Back,£1.80m
1011,Declan Rice,Defensive Midfield,£45.00m
1014,Carlos Sánchez,Defensive Midfield,£1.35m
1017,Jack Wilshere,Central Midfield,£9.00m
1020,Mark Noble,Central Midfield,£6.30m
1023,Pablo Fornals,Attacking Midfield,£22.50m
1026,Manuel Lanzini,Attacking Midfield,£18.00m
1029,Felipe Anderson,Left Winger,£40.50m
1032,Andrii Yarmolenko,Right Winger,£18.00m
1035,Michail Antonio,Right Winger,£13.50m
1038,Robert Snodgrass,Right Winger,£6.30m
1041,Sébastien Haller,Centre-Forward,£40.50m
1044,Albian Ajeti,Centre-Forward,£6.30m
1047,Rui Patrício,Goalkeeper,£18.00m
1050,John Ruddy,Goalkeeper,£2.70m
1053,Harry Burgoyne,Goalkeeper,£180k
1056,Willy Boly,Centre-Back,£13.50m
1059,Conor Coady,Centre-Back,£13.50m
1062,Jesús Vallejo,Centre-Back,£9.00m
